,numero_client,id_personne,id_coordonnee,nom,prenom,date_inscription,solde_client,npa,localite,rue,numero_rue,complement,adresse_mail,telephone,pays
9,184204,448370,321421,Claude,Sonderegger,2022-01-04,0.0,Im Gässle,7001,Vaduz,86,,Claude.Sonderegger@yahoo.com,+416367025066,FRANCE
446,178063,497524,339862,Ali,Salzmann,2024-11-16,6.03,Poskahalda,7002,Triesen,587,,Ali.Salzmann@gmail.com,+497462979501,FRANCE
104,173971,458617,397213,Stéphane,Neuenschwander,2024-09-15,0.0,Renkwiler,7007,Eschen,288,,Stéphane.Neuenschwander@gmail.com,+41644171701,FRANCE
0,196508,456599,391085,Nicola,Eggenberger,2024-02-20,1.92,Alpila,7005,Schaan,516,,Nicola.Eggenberger@yahoo.com,+41510689210,FRANCE
445,153503,472988,389040,Alex,Sousa,2025-01-16,0.0,Baumschulweg,7007,Eschen,672,,Alex.Sousa@gmail.com,+41628928445,FRANCE
735,118691,417704,317366,Yannick,Baur,2023-04-18,6.69,Obergut,7007,Eschen,1010,,Yannick.Baur@outlook.com,+41174114751,FRANCE
777,126888,452527,368582,Loris,Linder,2024-06-08,0.0,Am Gupfenbühel,7008,Mauren,702,,Loris.Linder@yahoo.com,+41587093955,FRANCE
663,114607,444345,382919,Sascha,Schläpfer,2024-10-08,9.46,Im Quäderle,7001,Vaduz,344,,Sascha.Schläpfer@gmail.com,+41141436868,FRANCE
319,133041,427972,372687,Michele,Zuber,2025-02-07,0.0,Rofenbergstrasse,7007,Eschen,446,,Michele.Zuber@gmail.com,+415718679494,FRANCE
790,192434,419780,335824,Dominique,Aebischer,2024-12-19,0.0,Mittlere Länge,7001,Vaduz,702,,Dominique.Aebischer@yahoo.com,+41355760082,FRANCE
911,133056,473042,352210,Maxime,Züger,2025-01-14,0.0,Sebastianstrasse,7007,Eschen,716,,Maxime.Züger@yahoo.com,+41881852372,FRANCE
152,139202,460755,331735,Elia,Blättler,2022-05-10,2.97,Im Grabaton,7005,Schaan,255,,Elia.Blättler@gmail.com,+41914452437,FRANCE
558,133072,436181,364505,Daniele,Affolter,2022-04-14,10.81,Obrosa,7010,Ruggell,803,,Daniele.Affolter@yahoo.com,+41366288857,FRANCE
272,194514,448480,378842,Juan,Clerc,2021-05-05,0.0,St. Johannerweg,7005,Schaan,695,,Juan.Clerc@gmail.com,+33706301914,FRANCE
91,135124,462816,348129,Nino,Hasani,2022-10-14,0.0,Greschner,7011,Schellenberg,812,,Nino.Hasani@yahoo.com,+415576892380,FRANCE
204,180184,464873,366564,Rui,Minder,2023-06-30,0.0,Im Rehwinkel,7001,Vaduz,978,,Rui.Minder@yahoo.com,+417364333533,FRANCE
508,169945,466922,354279,Noé,Oberholzer,2023-01-12,5.44,Tannwald,7011,Schellenberg,452,,Noé.Oberholzer@gmail.com,+41134836193,FRANCE
567,143327,438251,335855,Willy,Jud,2021-10-02,0.0,Grossabünt,7009,Gamprin,869,,Willy.Jud@outlook.com,+418800520166,FRANCE
157,155633,466921,337908,Nikola,von Allmen,2023-06-06,0.0,Kirchensträssle,7003,Balzers,272,,Nikola.von Allmen@gmail.com,+41580157422,FRANCE
621,118770,421871,327676,Janis,Schäfer,2022-06-26,7.12,An der Halde,7002,Triesen,453,,Janis.Schäfer@gmail.com,+41629719023,FRANCE
492,135158,471034,317439,Simone,Hutter,2023-02-14,5.8,Guflinastrasse,7004,Triesenberg,674,,Simone.Hutter@gmail.com,+41525072369,FRANCE
